wavelength_nm,sigma_1e20_cm2,sigma_cm2
190,67.200000000000003,6.7199999999999997e-19
195,56.399999999999999,5.6399999999999995e-19
200,47.5,4.7499999999999998e-19
205,40.799999999999997,4.0799999999999997e-19
210,35.700000000000003,3.5700000000000001e-19
215,30.699999999999999,3.0699999999999998e-19
220,25.800000000000001,2.5799999999999999e-19
225,21.699999999999999,2.1699999999999998e-19
230,18.199999999999999,1.8199999999999998e-19
235,15,1.5e-19
240,12.4,1.24e-19
245,10.199999999999999,1.0199999999999999e-19
250,8.3000000000000007,8.2999999999999999e-20
255,6.7000000000000002,6.6999999999999997e-20
260,5.2999999999999998,5.2999999999999996e-20
265,4.2000000000000002,4.1999999999999998e-20
270,3.2999999999999998,3.2999999999999994e-20
275,2.6000000000000001,2.5999999999999999e-20
280,2,1.9999999999999999e-20
285,1.5,1.4999999999999998e-20
290,1.2,1.2e-20
295,0.90000000000000002,8.9999999999999994e-21
300,0.68000000000000005,6.8e-21
305,0.51000000000000001,5.1e-21
310,0.38,3.7999999999999998e-21
315,0.28000000000000003,2.8e-21
320,0.20000000000000001,1.9999999999999998e-21
325,0.14999999999999999,1.5e-21
330,0.11,1.1e-21
335,0.084000000000000005,8.4000000000000003e-22
340,0.064000000000000001,6.3999999999999997e-22
345,0.049000000000000002,4.8999999999999998e-22
350,0.035999999999999997,3.5999999999999993e-22
