wavelength_nm,sigma_1e20_cm2,sigma_cm2
121,624,6.2399999999999999e-18
121.5,1276,1.276e-17
121.56699999999999,1480,1.4799999999999998e-17
122,1689,1.6889999999999999e-17
122.5,826,8.2599999999999992e-18
123,283,2.83e-18
123.5,589,5.8899999999999995e-18
124,1332,1.332e-17
124.5,663,6.6299999999999994e-18
125,619,6.1899999999999994e-18
125.5,693,6.9299999999999993e-18
126,706,7.0599999999999994e-18
126.5,768,7.6799999999999992e-18
127,800,7.999999999999999e-18
127.5,780,7.8000000000000001e-18
128,854,8.5399999999999992e-18
128.5,820,8.1999999999999995e-18
129,777,7.7699999999999995e-18
129.5,819,8.1899999999999988e-18
130,718,7.1800000000000003e-18
130.5,733,7.3300000000000003e-18
131,699,6.989999999999999e-18
131.5,601,6.0099999999999996e-18
132,667,6.6699999999999999e-18
132.5,538,5.3799999999999999e-18
133,494,4.9399999999999999e-18
133.5,513,5.1299999999999997e-18
134,424,4.2399999999999998e-18
134.5,382,3.8199999999999997e-18
135,367,3.6699999999999997e-18
135.5,310,3.0999999999999997e-18
136,251,2.5099999999999997e-18
136.5,257,2.5699999999999998e-18
137,204,2.0399999999999999e-18
137.5,195,1.95e-18
138,177,1.7699999999999998e-18
138.5,129,1.2899999999999999e-18
139,126,1.2599999999999998e-18
139.5,125,1.2499999999999999e-18
140,100,9.9999999999999988e-19
141,82.299999999999997,8.2299999999999997e-19
142,64.099999999999994,6.409999999999999e-19
143,57.100000000000001,5.7099999999999999e-19
144,56.399999999999999,5.6399999999999995e-19
145,58,5.8e-19
146,65.799999999999997,6.5799999999999989e-19
147,75.200000000000003,7.5200000000000002e-19
148,84.900000000000006,8.4899999999999997e-19
149,101,1.01e-18
150,120,1.2e-18
151,141,1.41e-18
152,165,1.6499999999999999e-18
153,197,1.9699999999999999e-18
154,211,2.1099999999999999e-18
155,236,2.3599999999999998e-18
156,266,2.6599999999999997e-18
157,295,2.9499999999999997e-18
158,327,3.2699999999999999e-18
159,354,3.5399999999999997e-18
160,385,3.8499999999999995e-18
161,413,4.1299999999999996e-18
162,434,4.34e-18
163,456,4.5599999999999996e-18
164,480,4.7999999999999999e-18
165,499,4.9899999999999996e-18
166,509,5.0899999999999999e-18
167,510,5.0999999999999998e-18
168,508,5.0799999999999999e-18
169,502,5.0199999999999995e-18
170,492,4.92e-18
171,470,4.6999999999999996e-18
172,435,4.35e-18
173,394,3.9399999999999998e-18
174,353,3.5299999999999997e-18
175,319,3.19e-18
176,284,2.8399999999999999e-18
177,240,2.3999999999999999e-18
178,193,1.9299999999999997e-18
179,140,1.3999999999999999e-18
180,90,9.0000000000000003e-19
181,54.600000000000001,5.4600000000000002e-19
182,32.899999999999999,3.2899999999999994e-19
183,16.899999999999999,1.6899999999999998e-19
184,12.1,1.21e-19
185,6.7800000000000002,6.78e-20
186,4.3899999999999997,4.3899999999999995e-20
187,2.71,2.7099999999999997e-20
188,1.77,1.7699999999999998e-20
189,1.0800000000000001,1.08e-20
190,0.67200000000000004,6.7200000000000003e-21
191,0.46400000000000002,4.6400000000000003e-21
192,0.29999999999999999,2.9999999999999999e-21
193,0.20999999999999999,2.0999999999999997e-21
194,0.16,1.5999999999999999e-21
195,0.13,1.2999999999999999e-21
196,0.11,1.1e-21
197,0.10000000000000001,9.9999999999999991e-22
198,0.089999999999999997,8.9999999999999997e-22
