z_km,T_K,M_cm3,O2_cm3,N2_cm3,CO2_cm3,H2O_vmr,H2O_cm3,H2_vmr,H2_cm3
50,264.9381103515625,21204504413317356,4452945926796644.5,16539513442387538,8587824287393.5283,5.3324929231332654e-06,113072869722.5629,3.3663344224407917e-07,7138145311.7347898
51,262.11712646484375,18866587179101300,3961983307611273,14715937999699014,7640967807536.0264,5.3679170905149891e-06,101274275758.38884,3.3840113841933246e-07,6384474579.4954624
52,259.06961059570312,16779517677621080,3523698712300426.5,13088023788544442,6795704659436.5371,5.3982599783614738e-06,90580198735.310745,3.4109922003959358e-07,5723480392.4771233
53,255.91787719726562,14908844185108226,3130857278872727.5,11628898464384416,6038081894968.8311,5.3808905696192213e-06,80222859079.571213,3.5228878631290507e-07,5252218623.2999887
54,252.77398681640625,13227440675134750,2777762541778297.5,10317403726605106,5357113473429.5732,5.3635770485817604e-06,70946397216.629578,3.6384541995556018e-07,4812743707.3816614
55,249.73939514160156,11713753536972074,2459888242764135.5,9136727758838218,4744070182473.6895,5.3463192354251491e-06,62625465853.743172,3.7578116240422739e-07,4401807920.239996
56,246.88813781738281,10351125020574348,2173736254320613,8073877516047992,4192205633332.6108,5.3291169509040453e-06,55162355808.06974,3.8810845010807012e-07,4017359088.6099758
57,244.21795654296875,9127968376488566,1916873359062598.8,7119815333661082,3696827192477.8691,5.3119700163498566e-06,48487494326.096939,4.0084012748690621e-07,3658856007.7281251
58,241.70986938476562,8033559378273501,1687047469437435.2,6266176315053331,3253591548200.7676,5.2944961996979816e-06,42533649598.317131,4.1491011220056341e-07,3333205023.009347
59,239.346435546875,7057292828850068,1482031494058514.2,5504688406503053,2858203595684.2773,5.2761914435214089e-06,37235628038.003731,4.317058122971536e-07,3046674333.2975955
60,237.11175537109375,6188850214895462,1299658545128047,4827303167618461,2506484337032.6621,5.2579499727049623e-06,32540664818.484695,4.491814079504909e-07,2779916453.1214418
61,234.99098205566406,5418334041501642,1137850148715344.8,4226300552371281,2194425286808.1648,5.239771568451037e-06,28390832659.030704,4.6736442156008287e-07,2532336555.125721
62,232.97055053710938,4736349939715816,994633487340321.38,3694352952978336.5,1918221725584.9053,5.2216560127184809e-06,24731590141.055904,4.8628348964137614e-07,2303208776.8477287
63,231.03775024414062,4132963297009323.5,867922292371957.88,3223711371667272.5,1673850135288.7759,5.2036030882199802e-06,21506300575.817547,5.059684079255355e-07,2091148859.4024794
64,229.18069458007812,3600405696576649,756085196281096.25,2808316443329786.5,1458164307113.5427,5.1687179017888958e-06,18609481377.598446,5.3427755788029235e-07,1923615962.9452648
65,227.38833618164062,3132284042022100.5,657779648824641.12,2443181552777238.5,1268575037018.9507,5.1298797834383038e-06,16068240583.155588,5.6625607891815852e-07,1773674879.6933551
66,225.6502685546875,2721556185540221,571526798963446.38,2122813824721372.5,1102230255143.7896,5.0913334975045188e-06,13856350172.781551,6.0014863469824092e-07,1633338229.006516
67,223.95669555664062,2361802598394185.5,495978545662778.94,1842206026747464.8,956530052349.64502,5.0530768511377444e-06,11934370036.902634,6.3606978739775918e-07,1502271276.6360648
68,222.29837036132812,2047202458649940.2,429912516316487.44,1596817917746953.5,829116995753.22571,5.0151076679654249e-06,10266940748.252987,6.7414095617106503e-07,1380103022.950026
69,220.66667175292969,1772503614588710.5,372225759063629.19,1382552819379194.2,717863963908.42773,4.94815713507453e-06,8770626407.4725227,7.3142035114102032e-07,1296445216.1812024
70,219.05337524414062,1532983519964030.8,321926539192446.44,1195727145571944,620858325585.43237,4.8629441310942804e-06,7454813211.4733353,8.0605304365136582e-07,1235666032.1343913
71,217.4508056640625,1324416357368193.5,278127435047320.62,1033044758747191,536388624734.11835,4.7791985938595523e-06,6329648792.8186607,8.8830110915844919e-07,1176480519.2377594
72,215.85166931152344,1143031179617352,240036547719643.91,891564320101534.62,462927627745.02753,4.6968952518912452e-06,5368697720.3083897,9.7894160532867303e-07,1118960777.9153373
73,214.27980041503906,982109680044676.75,206243032809382.12,766045550434847.88,397754420418.09406,4.6160092689144344e-06,4533427386.1768179,1.0788308792627429e-06,1059530249.6550497
74,212.9005126953125,845140419465793.88,177479488087816.72,659209527183319.25,342281869883.64648,4.4080230933214479e-06,3725398486.1045947,1.2205259008211554e-06,1031515771.7888572
75,211.70915222167969,725989728244736.88,152457842931394.75,566271988030894.75,294025839939.11841,4.1792793188635777e-06,3034113856.960618,1.3899202862705007e-06,1009067850.9113677
76,210.67144775390625,622700330027400.12,130767069305754.02,485706257421372.12,252193633661.09705,3.9624056533514869e-06,2467391308.0444069,1.5828245847847469e-06,985625391.32094455
77,209.7552490234375,533431321662553,112020577549136.12,416076430896791.38,216039685273.33395,3.7567861259823894e-06,2003987388.3863282,1.802501690885763e-06,961510859.26817906
78,208.92984008789062,456478806536308.94,95860549372624.875,356053469098321,184873916647.20511,3.5290250238001563e-06,1610925131.1010647,2.0333020891501937e-06,928159310.98306406
79,208.16580200195312,390290401425599.06,81960984299375.797,304426513111967.25,158067612577.36761,3.1945958526062813e-06,1246820097.7062595,2.2083172399517635e-06,861885022.05584478
80,207.43473815917969,333467708439082.88,70028218772207.398,260104812582484.66,135054421917.82855,2.8918589674662431e-06,964341583.00998044,2.3983967056790553e-06,799787853.37064004
81,206.70912170410156,284761256747209.94,59799863916914.086,222113780262823.75,115328308982.62003,2.6178110388806061e-06,745451161.35836065,2.6048371374113827e-06,741756696.87107015
82,205.96218872070312,243065923192328.03,51043843870388.883,189591420090015.88,98441698892.892853,2.3697333488187012e-06,576001424.15026474,2.8290467946237577e-06,687644870.88952005
83,205.16810607910156,207410880707333.25,43556284948539.984,161780486951719.94,84001406686.469955,2.0506801314373635e-06,425333372.11045349,2.9588785836219671e-06,613703612.93509901
84,204.30183410644531,176947023465686.44,37158874927794.148,138018678303235.42,71663544503.602997,1.7406535276404778e-06,308003460.60102952,3.0450705126996624e-06,538816163.46533704
85,203.33953857421875,150936585896166.81,31696683038195.031,117730536999010.12,61129317287.947556,1.477497468687883e-06,223008423.59397769,3.1337732067270435e-06,473001028.7962625
86,202.25837707519531,128740326978038.5,27035468665388.086,100417455042870.03,52139832426.105591,1.2541259563229909e-06,161456585.68866709,3.2250598041139434e-06,415195253.70535785
87,201.03726196289062,109806720024653.8,23059411205177.297,85649241619229.969,44471721609.984787,1.0621207643742144e-06,116627997.40601064,3.2999999999999968e-06,362362176.08135718
88,199.65658569335938,93660220126723.375,19668646226611.906,73054971698844.234,37932389151.322968,8.914150667277892e-07,83490131.374002546,3.2999999999999968e-06,309078726.41818684
89,198.09886169433594,79892070361353.375,16777334775884.209,62315814881855.633,32356288496.348114,7.4814545373989462e-07,59770889.230714306,3.2999999999999968e-06,263643832.19246587
90,196.34893798828125,68151343755478.133,14311782188650.408,53158048129272.945,27601294220.968643,6.2790235530379993e-07,42792389.261183634,3.2999999999999968e-06,224899434.39307761
91,194.41694641113281,58130517873790.664,12207408753496.039,45341803941556.719,23542859738.88522,5.2698491426391832e-07,30633905.977836743,3.2999999999999968e-06,191830708.983509
92,192.40278625488281,49549654590143.633,10405427463930.162,38648730580312.031,20067610109.008171,4.5331102773786458e-07,22461404.84631421,3.2999999999999968e-06,163513860.14747384
93,190.42082214355469,42181843262156.742,8858187085052.916,32901837744482.262,17083646521.173479,3.94073003780678e-07,16622725.679323861,3.2999999999999968e-06,139200082.76511711
94,188.57623291015625,35846306114378.492,7527724284019.4834,27960118769215.227,14517753976.323288,3.4257611839641352e-07,12280088.407513408,3.2999999999999968e-06,118292810.17744891
95,186.966064453125,30396927313490.477,6383354735833,23709603304522.574,12310755561.963642,2.9780877088669921e-07,9052471.5619629342,3.2999999999999968e-06,100309860.13451847
96,185.6815185546875,25713189805669.086,5399769859190.5078,20056288048421.887,10413841871.295979,2.6101332440830018e-07,6711485.1523193019,3.2999999999999968e-06,84853526.358707905
