z_km,T_K,M_cm3,O2_model_cm3,N2_model_cm3,CO2_model_cm3,O3_socrates_reference_vmr,O3_socrates_reference_cm3,msis_mass_density_kg_m3,msis_N2_native_cm3,msis_O2_native_cm3,msis_O_native_cm3,msis_He_native_cm3,msis_H_native_cm3,msis_Ar_native_cm3,msis_N_native_cm3,msis_anomalous_O_native_cm3
0,283.86483764648438,2.5719328316280975e+19,5.4010589464190044e+18,2.006107608669916e+19,10416327968093794,3.8000000000000003e-08,977334476018.67712,1.2360014915466309,2.0089486585391624e+19,5.389406513182505e+18,nan,134814920593800.95,nan,2.4030040278625552e+17,nan,0
1,280.53671264648438,2.306104283260851e+19,4.842818994847787e+18,1.7987613409434638e+19,9339722347206446,3.9508742173077455e-08,911112795515.82544,1.1082515716552734,1.8013087637731246e+19,4.83237075884945e+18,nan,120880783346716.64,nan,2.154635552444655e+17,nan,0
2,275.06118774414062,2.0802230369147986e+19,4.3684683775210767e+18,1.6225739687935429e+19,8424903299504934,4.1077387055229194e-08,854501268485.53503,0.99969899654388428,1.6248718824842174e+19,4.3590434468191278e+18,nan,109040600024034.05,nan,1.9435905688665952e+17,nan,0
3,268.12628173828125,1.8821639427192467e+19,3.9525442797104179e+18,1.4680878753210124e+19,7622763968012949,4.2708313008125261e-08,803840467982.6073,0.90451717376708984,1.4701669950963974e+19,3.9440167812033879e+18,nan,98658791332247.5,nan,1.7585403623377181e+17,nan,0
4,260.37548828125,1.7035133857908054e+19,3.5773781101606912e+18,1.3287404409168282e+19,6899229212452762,4.4403992823292403e-08,756427961570.37463,0.81866252422332764,1.3306222184491039e+19,3.5696599981234074e+18,nan,89294329963316.5,nan,1.5916238096364554e+17,nan,0
5,252.36296081542969,1.5386992907090018e+19,3.2312685104889037e+18,1.2001854467530215e+19,6231732127371457,4.6166997471332669e-08,710371262633.03857,0.73945742845535278,1.2018851585702961e+19,3.2242971732716554e+18,nan,80655141648438.656,nan,1.4376349297375525e+17,nan,0
6,244.53794860839844,1.3843195763481643e+19,2.9070711103311447e+18,1.0797692695515683e+19,5606494284210065,4.8e-08,664473396647.1189,0.66526663303375244,1.0812984466840054e+19,2.9007992165243965e+18,nan,72562907591821.234,nan,1.2933951720960035e+17,nan,0
7,237.25048828125,1.2385755865608612e+19,2.6010087317778084e+18,9.6608895751747174e+18,5016231125571488,5.0881838921978297e-08,630210034880.84521,0.595225989818573,9.6745713264471798e+18,2.5953972274830705e+18,nan,64923338074312.672,nan,1.1572238834028666e+17,nan,0
8,230.76901245117188,1.1007940044532101e+19,2.3116674093517409e+18,8.5861932347350395e+18,4458215718035500.5,5.3936698585044649e-08,593731944224.1709,0.52901184558868408,8.5983531130810726e+18,2.3066800302260383e+18,nan,57701138772661.367,nan,1.0284920008621902e+17,nan,0
9,225.30294799804688,9.7102506343889879e+18,2.0391526332216873e+18,7.5739954948234107e+18,3932651506927540,5.7174966862240289e-08,555183258245.23816,0.46664845943450928,7.5847218200533023e+18,2.0347532611861601e+18,nan,50898944116727.477,nan,90724654205408448,nan,0
10,221.02700805664062,8.4970127437965353e+18,1.7843726761972723e+18,6.6276699401612974e+18,3441290161237596.5,6.0607655296957392e-08,514984019429.87451,0.40834352374076843,6.6370560838331167e+18,1.7805229725508685e+18,nan,44539426036275.742,nan,79389147986512432,nan,0
11,218.01986694335938,7.3765718523196088e+18,1.5490800889871178e+18,5.7537260448092948e+18,2987511600189441.5,6.4246436547053488e-08,473918455444.83258,0.35449814796447754,5.7618745226075638e+18,1.5457380021274642e+18,nan,38666327501905.594,nan,68920661257078912,nan,0
12,216.04261779785156,6.3636475751158405e+18,1.3363659907743265e+18,4.9636451085903555e+18,2577277267921915.5,8.006756748912986e-08,509521781697.62512,0.30581972002983093,4.9706746460813353e+18,1.3334828472863345e+18,nan,33356805642584.586,nan,59456724942528520,nan,0
13,214.81790161132812,5.4650265436367022e+18,1.1476555741637074e+18,4.262720704036628e+18,2213335750172864.2,1.0390482898099904e-07,567842648393.19189,0.26263442635536194,4.2687575873326131e+18,1.1451795646458179e+18,nan,28646436256541.047,nan,51060745222014992,nan,0
14,214.09921264648438,4.6793146658137876e+18,9.8265607982089536e+17,3.6498654393347543e+18,1895122439654584,1.3483878459322936e-07,630953102267.60437,0.22487525641918182,3.6550344120002964e+18,9.8053603271968486e+17,nan,24527911989496.773,nan,43719693181816368,nan,0
15,213.6563720703125,3.9999688391195049e+18,8.3999345621509594e+17,3.119975694513214e+18,1619987379843399.5,1.7498222179745058e-07,699923434589.70007,0.19222770631313324,3.124394219054463e+18,8.3818121166617549e+17,nan,20966934675734.922,nan,37372441464190328,nan,0
16,213.30906677246094,3.4169203603759821e+18,7.1755327567895616e+17,2.6651978810932659e+18,1383852745952272.8,2.4158534800155202e-07,825477894355.02014,0.16420796513557434,2.6689723544514371e+18,7.1600518307426547e+17,nan,17910725558098.984,nan,31924912124720924,nan,0
17,213.04798889160156,2.9171631732621189e+18,6.1260426638504499e+17,2.2753872751444529e+18,1181451085171158,3.8539692526659744e-07,1124265717476.1711,0.14019098877906799,2.2786097062381875e+18,6.1128258462225216e+17,nan,15291111617131.971,nan,27255591290062264,nan,0
18,212.90608215332031,2.4888539578927068e+18,5.2265933115746842e+17,1.9413060871563113e+18,1007985852946546.2,6.1481704595757638e-07,1530189838211.4163,0.11960760504007339,1.9440553763769367e+18,5.2153171674267226e+17,nan,13046011127794.762,nan,23253818761970408,nan,0
19,212.91630554199219,2.1219116554016233e+18,4.4560144763434086e+17,1.6550910912132662e+18,859374220437657.38,9.8080699460308339e-07,2081185793547.7197,0.10197334736585617,1.6574350551064084e+18,4.446400669511159e+17,nan,11122582660768.07,nan,19825410761438156,nan,0
