log_palt_km,z_geometric_km,H2O_vmr,H2_vmr,O3_vmr
0,0.0,1.7e-2,2.7e-7,3.8e-8
5,6.0,1.2e-3,2.7e-7,4.8e-8
10,11.2,3.6e-5,2.7e-7,6.5e-8
15,15.7,3.4e-6,2.7e-7,2.1e-7
20,20.3,2.1e-6,3.0e-7,1.8e-6
25,25.1,2.6e-6,3.3e-7,5.2e-6
30,30.1,3.4e-6,3.6e-7,8.2e-6
35,35.2,4.1e-6,3.7e-7,8.1e-6
40,40.5,4.8e-6,3.6e-7,6.8e-6
45,46.2,5.2e-6,3.3e-7,4.2e-6
50,51.9,5.4e-6,3.4e-7,2.5e-6
55,57.7,5.3e-6,4.1e-7,1.6e-6
60,63.2,5.2e-6,5.1e-7,1.3e-6
65,68.4,5.0e-6,6.9e-7,1.1e-6
70,73.2,4.6e-6,1.1e-6,9.3e-7
75,77.8,3.6e-6,2.0e-6,4.8e-7
80,82.3,2.3e-6,2.9e-6,1.7e-7
85,86.8,1.1e-6,3.3e-6,4.9e-7
90,91.3,5.0e-7,3.3e-6,1.6e-6
95,95.7,2.7e-7,3.3e-6,2.5e-6
100,99.8,1.7e-7,3.3e-6,3.2e-6
105,104.0,7.6e-8,3.1e-6,3.0e-6
110,108.4,1.8e-8,2.8e-6,1.1e-6
