source_matlab_index,wavelength_nm,solar_photon_irradiance_per_element,sigma_O_cm2,sigma_O2_cm2,sigma_O3_cm2,sigma_N2_cm2
1,7.5,1000000000,1.0599999999999999e-18,1.1800000000000001e-18,0,5.9999999999999999e-19
2,12.5,1300000000,3.5299999999999997e-18,3.6100000000000001e-18,0,2.32e-18
3,17.5,4100000000,5.9599999999999999e-18,7.2700000000000006e-18,0,5.3999999999999998e-18
4,22.5,4800000000,7.5500000000000007e-18,1.05e-17,0,8.1500000000000005e-18
5,27.5,7510000000,8.7799999999999995e-18,1.3650000000000001e-17,0,1.008e-17
6,32.5,4310000000,1.003e-17,1.7950000000000001e-17,0,1.4599999999999999e-17
7,37.5,1530000000,1.07e-17,1.8170000000000001e-17,0,1.751e-17
8,42.5,1090000000,1.121e-17,1.9389999999999999e-17,0,2.107e-17
9,47.5,1210000000,1.164e-17,2.159e-17,0,2.185e-17
10,52.5,1230000000,1.1910000000000001e-17,2.406e-17,0,2.4530000000000001e-17
11,57.5,870000000,1.19e-17,2.5039999999999999e-17,0,2.238e-17
12,62.5,960000000,1.2210000000000001e-17,2.6019999999999999e-17,0,2.3220000000000001e-17
13,67.5,450000000,1.0040000000000001e-17,2.627e-17,0,2.9750000000000003e-17
14,72.5,340000000,8.0000000000000006e-18,2.9049999999999999e-17,0,3.0939999999999997e-17
15,77.5,1890000000,4.2299999999999998e-18,2.709e-17,0,3.0709999999999998e-17
16,82.5,3920000000,4.3799999999999998e-18,2.0870000000000001e-17,0,1.5049999999999999e-17
17,87.5,9770000000,4.1800000000000001e-18,9.8500000000000007e-18,0,4.6629999999999999e-17
18,92.5,7940000000,2.1199999999999999e-18,1.5539999999999999e-17,0,1.699e-17
19,97.5,3340000000,0,1.6530000000000001e-17,0,3.6159999999999999e-17
20,102.5,4710000000,0,1.0999999999999999e-18,0,0
21,117.30307999999999,103000000,0,1.9999999999999999e-20,7.8000000000000001e-18,0
22,117.30307999999999,266000000,0,1.2500000000000001e-18,7.97e-18,0
23,117.99515,112000000,0,2.5499999999999999e-19,8.6600000000000001e-18,0
24,118.69541,124000000,0,3.0000000000000003e-20,9.5099999999999995e-18,0
25,119.40404000000001,182000000,0,3.7499999999999998e-19,1.25e-17,0
26,120.12121500000001,190000000,0,4.4500000000000002e-18,1.8400000000000001e-17,0
27,120.84701,740000000,0,8.3499999999999995e-18,2.1899999999999999e-17,0
28,121.56699999999999,382000000000,0,9.9999999999999995e-21,2.32e-17,0
29,121.58166,2280000000,0,5.9999999999999999e-19,2.3000000000000001e-17,0
30,122.325295,3670000000,0,2.35e-19,2.26e-17,0
31,123.07809499999999,1360000000,0,4.5000000000000001e-19,2.0600000000000001e-17,0
32,123.84020000000001,1610000000,0,3.35e-19,1.3e-17,0
33,124.6118,1320000000,0,1.7500000000000001e-17,8.9099999999999996e-18,0
34,125.39308,1410000000,0,8.9500000000000005e-19,7.24e-18,0
35,126.18423999999999,3110000000,0,4.3000000000000002e-19,6.09e-18,0
36,126.98542,1060000000,0,1.0999999999999999e-19,5.6599999999999999e-18,0
37,127.796815,1370000000,0,2.0499999999999999e-19,5.8700000000000004e-18,0
38,128.61867999999998,1020000000,0,4.4299999999999997e-19,6.4700000000000002e-18,0
39,129.45121499999999,1140000000,0,5.5500000000000003e-19,8.1399999999999998e-18,0
40,130.29452500000002,7290000000,0,4.1999999999999998e-19,1.24e-17,0
41,131.14897500000001,2200000000,0,6.8500000000000001e-19,1.5199999999999999e-17,0
42,132.01461499999999,1590000000,0,1.45e-18,1.47e-17,0
43,132.89181500000001,2210000000,0,2.25e-18,1.5100000000000001e-17,0
44,133.78074500000002,12400000000,0,2.3000000000000001e-18,1.5100000000000001e-17,0
45,134.68167,1990000000,0,4.5499999999999997e-18,1.65e-17,0
46,135.59476000000001,3090000000,0,7.2299999999999993e-18,1.5400000000000001e-17,0
47,136.52035000000001,2570000000,0,9.5000000000000003e-18,1.3500000000000001e-17,0
48,137.458665,2740000000,0,1.2299999999999999e-17,1.05e-17,0
49,138.40994499999999,3100000000,0,1.3200000000000001e-17,7.97e-18,0
50,139.866985,7600000000,0,1.36e-17,7.1699999999999996e-18,0
51,141.85111999999998,10100000000,0,1.3999999999999999e-17,6.2799999999999997e-18,0
52,143.89231999999998,13000000000,0,1.4800000000000001e-17,5.6599999999999999e-18,0
53,145.99315999999999,18200000000,0,1.41e-17,5.2299999999999999e-18,0
54,148.15626499999999,23300000000,0,1.2900000000000001e-17,4.4700000000000001e-18,0
55,150.38442500000002,26600000000,0,1.15e-17,3.6899999999999996e-18,0
56,152.68067500000001,29000000000,0,9.9100000000000004e-18,2.9299999999999998e-18,0
57,155.04810000000001,36000000000,0,8.2399999999999993e-18,2.1899999999999999e-18,0
58,157.49008000000001,47500000000,0,6.5799999999999997e-18,1.63e-18,0
59,160.01026000000002,64000000000,0,4.9699999999999997e-18,1.2e-18,0
60,162.61236500000001,54900000000,0,3.4500000000000001e-18,9.7700000000000008e-19,0
61,165.30053500000002,119000000000,0,2.0800000000000001e-18,8.6599999999999996e-19,0
62,168.079115,176000000000,0,1.23e-18,8.1399999999999996e-19,0
63,170.95264500000002,232000000000,0,7.2199999999999999e-19,8.1699999999999997e-19,0
64,173.16342,144000000000,0,4.5799999999999999e-19,8.5700000000000004e-19,0
65,174.67580000000001,183000000000,0,2.74e-19,8.3999999999999996e-19,0
66,176.21487500000001,174000000000,0,0,8.1099999999999996e-19,0
67,177.78131500000001,210000000000,0,0,7.9900000000000004e-19,0
68,179.37578999999999,238000000000,0,0,7.86e-19,0
69,180.99919,304000000000,0,0,7.63e-19,0
70,182.65222,319000000000,0,0,7.2900000000000003e-19,0
71,184.33569499999999,293000000000,0,0,6.8800000000000002e-19,0
72,186.050545,362000000000,0,0,6.3999999999999996e-19,0
73,187.79757499999999,473000000000,0,0,5.8799999999999997e-19,0
74,189.57769500000001,561000000000,0,0,5.3100000000000001e-19,0
75,191.39194500000002,663000000000,0,0,4.8000000000000005e-19,0
76,193.24123,690000000000,0,0,4.38e-19,0
77,195.12661500000002,956000000000,0,0,4.1100000000000002e-19,0
78,197.04910000000001,1150000000000,0,0,3.6900000000000002e-19,0
79,199.00990000000002,1270000000000,0,0,3.2999999999999998e-19,0
80,201.01009999999999,1520000000000,0,0,3.2599999999999999e-19,0
81,203.05091499999997,1780000000000,0,0,3.2599999999999999e-19,0
82,205.13358500000001,2200000000000,0,0,3.51e-19,0
83,207.25946499999998,2690000000000,0,6.6199999999999996e-24,4.1100000000000002e-19,0
84,209.42981,4540000000000,0,6.2599999999999999e-24,4.8399999999999999e-19,0
85,211.64613,7140000000000,0,5.8400000000000004e-24,6.2599999999999998e-19,0
86,213.90987999999999,8350000000000,0,5.3699999999999999e-24,8.5700000000000004e-19,0
87,216.22255000000001,8390000000000,0,4.8899999999999997e-24,1.1699999999999999e-18,0
88,218.58575999999999,10800000000000,0,4.3899999999999997e-24,1.52e-18,0
89,221.00121000000001,11800000000000,0,3.8899999999999996e-24,1.9699999999999999e-18,0
90,223.47064999999998,16000000000000,0,3.3999999999999999e-24,2.5499999999999999e-18,0
91,225.995915,13400000000000,0,2.9400000000000001e-24,3.2400000000000001e-18,0
92,228.57888,14100000000000,0,2.4899999999999999e-24,4.0000000000000003e-18,0
93,231.22162,15700000000000,0,2.09e-24,4.8299999999999997e-18,0
94,233.92610999999999,13800000000000,0,1.7199999999999999e-24,5.79e-18,0
95,236.69466999999997,16000000000000,0,1.4000000000000001e-24,6.8599999999999997e-18,0
96,239.52953000000002,14500000000000,0,1.12e-24,7.97e-18,0
97,242.43317000000002,22000000000000,0,8.7900000000000008e-25,8.9999999999999999e-18,0
98,245.40798999999998,19900000000000,0,6.7600000000000001e-25,1.0000000000000001e-17,0
99,248.45679999999999,19700000000000,0,0,1.08e-17,0
100,251.58228,19400000000000,0,0,1.13e-17,0
101,254.78743,29100000000000,0,0,1.15e-17,0
102,258.07528000000002,49500000000000,0,0,1.12e-17,0
103,261.449095,45300000000000,0,0,1.0600000000000001e-17,0
104,264.912285,107000000000000,0,0,9.5900000000000006e-18,0
105,268.46848499999999,120000000000000,0,0,8.3099999999999997e-18,0
106,272.12144999999998,110000000000000,0,0,6.8900000000000003e-18,0
107,275.87518999999998,104000000000000,0,0,5.35e-18,0
108,279.73397,82400000000000,0,0,3.91e-18,0
109,283.70219499999996,152000000000000,0,0,2.67e-18,0
110,287.78468499999997,215000000000000,0,0,1.73e-18,0
111,291.98637500000001,348000000000000,0,0,1.0400000000000001e-18,0
112,296.31252999999998,340000000000000,0,0,5.8499999999999997e-19,0
113,300.76890000000003,322000000000000,0,0,3.1599999999999999e-19,0
114,305.36130500000002,423000000000000,0,0,1.66e-19,0
115,310.09614999999997,495000000000000,0,0,8.6700000000000001e-20,0
116,315,544000000000000,0,0,5.0100000000000002e-20,0
117,320,593000000000000,0,0,2.4899999999999999e-20,0
118,325,675000000000000,0,0,1.2e-20,0
119,330,815000000000000,0,0,6.17e-21,0
120,335,781000000000000,0,0,2.74e-21,0
121,340,835000000000000,0,0,1.1699999999999999e-21,0
122,345,814000000000000,0,0,5.8799999999999997e-22,0
123,350,853000000000000,0,0,2.66e-22,0
124,355,917000000000000,0,0,1.0900000000000001e-22,0
125,360,838000000000000,0,0,5.4899999999999995e-23,0
